PROGRAM_ID,ORDER_ID,ITEM_ID,ITEM_PRICE,QUANTITY,CATEGORY,NEW_TO_FILE,COUPON,REASON
"8716","OR150761","UP6085010093536","0","0","","0","15200",""
"8716","OR150761","Up6085010044712","0","0","","0","15200",""
"8716","OR150761","UP3351500009848","0","0","","0","15200",""
"8716","OR150761","UP783320482502","0","0","","0","15200",""
"8716","OR150761","UP6085010094151","0","0","","0","15200",""
"8716","OR150761","UP783320971051","0","0","","0","15200",""
"8716","OR150761","UP8411061602522","0","0","","0","15200",""
"8716","OR150761","UP3432240031921","0","0","","0","15200",""
"8716","OR150761","Up3348901250146","0","0","","0","15200",""
"8716","OR150761","UP3605521034014","0","0","","0","15200",""
"8716","OR150761","UP719346018081","0","0","","0","15200",""
"8716","OR150761","UP3274870303166","0","0","","0","15200",""
"8716","OR150761","UP7640111506072","0","0","","0","15200",""
"8716","OR150761","UP719346217392","0","0","","0","15200",""
"8716","OR150761","UP608940553893","0","0","","0","15200",""
"8716","OR150761","UP766124303273","0","0","","0","15200",""
"8716","OR150761","UP688575134490","0","0","","0","15200",""
"8716","OR150761","UP7640111495550","0","0","","0","15200",""
"8716","OR150761","UP844061000545","0","0","","0","15200",""
"8716","OR150761","UP844061000599","0","0","","0","15200",""
"8716","OR150761","UP3700066700735","0","0","","0","15200",""
"8716","OR150761","UP8011003801619","0","0","","0","15200",""
"8716","OR150761","UP608940546543","0","0","","0","15200",""
"8716","OR150761","UP3365440614758","0","0","","0","15200",""
"8716","OR150761","UP3423473020752","0","0","","0","15200",""
"8716","OR150761","UP3700066700728","0","0","","0","15200",""
"8716","OR150761","UP3346131400003","0","0","","0","15200",""
"8716","OR150761","UP3605532612768","0","0","","0","15200",""
"8716","OR150761","UP8011003818112","0","0","","0","15200",""
