PROGRAM_ID,ORDER_ID,ITEM_ID,ITEM_PRICE,QUANTITY,CATEGORY,NEW_TO_FILE,COUPON,REASON
"8716","OR19085","UP8016741092251","0","0","","1","FirstAroma","8"
"8716","OR19085","GIFT-UP737052355504","0","0","","1","FirstAroma","8"
"8716","OR24761","UP701666312925","0","0","","0","Lucky10","1"
"8716","OR24761","UP91167","0","0","","0","Lucky10","1"
"8716","OR27076","UP3346131400003","0","0","","0","FirstAroma","2"
"8716","OR28084","UP7016663009601","0","0","","0","extra10","2"
"8716","OR28351","UP701666311973","0","0","","0","","2"
"8716","OR28530","UP117012160023","0","0","","0","FirstAroma","4"
"8716","OR28872","UP859932005009","0","0","","0","extra10","2"
"8716","OR28875","UP871854251814","0","0","","0","extra10","2"
"8716","OR28929","UP840797116443","0","0","","0","Icon20","2"
"8716","OR28929","UP840797116528","0","0","","0","Icon20","2"
"8716","OR28929","UP840797116542","0","0","","0","Icon20","2"
"8716","OR30236","Up3700578519009","0","0","","0","extra10","3"
"8716","OR34310","UP7640157350226","0","0","","1","","1"
"8716","OR35125","UP3760022730794","0","0","","0","","8"
"8716","OR36484","UP608940553961","0","0","","1","FirstAroma","2"
"8716","OR37723","UP3365440787971","0","0","","1","","2"
"8716","OR39717","UP888874002531","0","0","","0","","3"
"8716","OR40583","UP3508440505057","0","0","","0","Happy10","3"
"8716","OR41945","UP3614271566584","0","0","","1","FirstAroma","8"
"8716","OR43519","UP3508441001107","0","0","","0","SAVEMax","2"
"8716","OR43812","UP8011003837380","0","0","","0","","8"
"8716","OR43841","UP8011003833085","0","0","","0","","7"
"8716","OR43841","Up3349668525751","0","0","","0","","7"
"8716","OR43906","UP783320977220","0","0","","0","FirstAroma","7"
"8716","OR43906","UP8011003833085","0","0","","0","FirstAroma","7"
"8716","OR43906","UP3365440808775","0","0","","0","FirstAroma","7"
"8716","OR44488","UP8011003995967","0","0","","0","FirstAroma","8"
"8716","OR44976","UP3508441001022","0","0","","0","","3"
"8716","OR45012","UP3508441001053","0","0","","0","","2"
"8716","OR45340","UP890766243007","0","0","","0","FirstAroma","8"
"8716","OR45388","Up3348901250146","0","0","","1","","1"
